numero;name;artist;year;info;tags;links;id;coverUrl
0;Post-Música;Tesoro del Mal;2020;Punk de residencial barato;Punk, Crust Punk, Pop;http://tesorodelmal.bandcamp.com;postmusicatesorodelmal;post-musica
1;Perro Tieso;El Segundo Mejor Mono de Costa Rica;2023;Jazz Lounge;Jazz, Lounge, Costa Rica;http://elsegundomejormonodecostarica.bandcamp.com;perrotiesoesmmcr;elsegundomejor
2;LUOCEN;Años Plus;2021;Nintendillos;Chiptune, Electronica, edm, Costa Rica;http://agnosplus.bandcamp.com;luocenagnosplus;luocen
3;Yo Venía Manejando;Rancho Lindo;2023;Todo al mismo tiempo;Experimental, Indie Rock;http://rancholindo.bandcamp.com;yoveniamanejandorancholindo;rancholindo
4;Música Mala;Ceniza;2016;Buena Musica;Experimental, Emo, Costa Rica;"http://ceniza.bandcamp.com; http://instagram.com/cenizacr";musicamalaceniza;musicamala
5;Trabajar Desde La Casa;Vicepresidente;2020;Guitarritas;Indie Rock, Lloradera;http://vicepresidente.bandcamp.com;tddlcvicepresidente;tddlc
